amenity,bench,waste_basket,toilets,drinking_water,waste_disposal,recycling,post_box,fast_food,restaurant,parking_entrance,doctors,dentist,bicycle_parking,cafe,vending_machine,pharmacy,social_facility,clinic,bank,place_of_worship,atm,childcare,veterinary,post_office,college,bar,car_wash,telephone,school,car_rental,music_school,pub,shelter,community_centre,dojo,construction,charging_station,library,parking,ice_cream,bureau_de_change,fuel,fountain,public_bookcase,parking_space,police,fire_station,kindergarten,ferry_terminal,car_sharing,bicycle_repair_station,lounge,bicycle_rental,theatre,marketplace,research_institute,nightclub,taxi,bus_station,food_court,boat_rental,cinema,science,social_centre,trolley_bay,clock,arts_centre,hospital,university
counts1,77.0,28.0,17.0,14.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts6,276.0,163.0,47.0,14.0,11.0,59.0,148.0,117.0,109.0,104.0,57.0,54.0,53.0,52.0,46.0,43.0,28.0,23.0,22.0,22.0,22.0,21.0,12.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
counts7,71.0,52.0,25.0,6.0,5.0,8.0,6.0,22.0,34.0,,8.0,6.0,9.0,14.0,11.0,11.0,,,5.0,,,,,5.0,,,,,,,,4.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts8,33.0,21.0,26.0,5.0,,,,4.0,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts9,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts11,115.0,22.0,35.0,7.0,,,37.0,31.0,72.0,19.0,,,6.0,36.0,4.0,9.0,,,21.0,6.0,4.0,,,9.0,,,,,,,,8.0,9.0,4.0,,,,,7.0,9.0,,11.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
counts12,390.0,132.0,39.0,21.0,19.0,8.0,113.0,205.0,304.0,21.0,5.0,54.0,22.0,88.0,5.0,53.0,7.0,32.0,63.0,12.0,10.0,4.0,11.0,31.0,,16.0,8.0,,13.0,6.0,,17.0,16.0,9.0,,,5.0,9.0,86.0,6.0,,45.0,8.0,6.0,7.0,6.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
counts13,525.0,159.0,69.0,44.0,25.0,16.0,120.0,194.0,328.0,41.0,11.0,36.0,49.0,119.0,11.0,50.0,,14.0,76.0,30.0,16.0,6.0,13.0,35.0,,27.0,8.0,9.0,9.0,,,29.0,6.0,11.0,,,4.0,,74.0,7.0,,39.0,14.0,8.0,,7.0,5.0,,,9.0,4.0,,,,,,,,,,,,,,,,,,
counts14,20.0,86.0,26.0,6.0,,,9.0,4.0,12.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counts16,40.0,24.0,13.0,6.0,,4.0,30.0,24.0,28.0,,,8.0,9.0,13.0,12.0,5.0,,,7.0,11.0,,,4.0,,,,,5.0,,,,,,,,,14.0,,,4.0,,10.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
counts17,174.0,36.0,44.0,32.0,,,73.0,87.0,259.0,23.0,,8.0,16.0,75.0,4.0,15.0,,7.0,42.0,4.0,6.0,,,17.0,,16.0,,14.0,4.0,5.0,,13.0,4.0,4.0,,,15.0,4.0,21.0,4.0,6.0,11.0,7.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
counts18,1810.0,306.0,142.0,137.0,15.0,27.0,391.0,420.0,1194.0,58.0,13.0,73.0,1234.0,589.0,32.0,104.0,10.0,39.0,184.0,23.0,32.0,7.0,20.0,55.0,8.0,94.0,,20.0,21.0,13.0,,95.0,7.0,24.0,,,16.0,20.0,52.0,30.0,10.0,49.0,21.0,52.0,,4.0,,6.0,13.0,119.0,10.0,,200.0,26.0,12.0,11.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0
counts19,185.0,101.0,51.0,28.0,,4.0,39.0,39.0,125.0,7.0,,7.0,19.0,65.0,9.0,17.0,,,36.0,5.0,5.0,,,16.0,,9.0,,4.0,12.0,,,12.0,4.0,,,,,,34.0,6.0,,13.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
counts20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
