,Unnamed: 0,id,lat,lon,awards_num,priceLevel,rankingDenominator,rankingPosition,rating,numberofReviews,competitors,accessibility,touristic attractions,unattractiveness
0,0,1719718,49.263462,-123.129814,8,$$ - $$$,3031,4,4.5,794,13,13,1,13
1,1,6739624,49.26805,-123.148674,5,$,3031,7,4.5,207,23,23,2,23
2,2,2399483,49.284725,-123.1225,10,$$$$,3031,1,4.5,2962,58,58,8,58
3,3,701775,49.28225,-123.12248,11,$$$$,3031,9,4.5,1203,52,52,8,52
4,4,3476538,49.2759,-123.069496,6,$$ - $$$,3031,6,4.5,437,12,12,0,12
5,5,7273795,49.28241,-123.1092,5,$$ - $$$,3031,10,4.5,437,44,44,7,44
6,6,690182,49.288414,-123.11281,11,$$$$,3031,3,4.5,1015,11,11,7,11
7,7,8653602,49.28161,-123.11704,5,$$ - $$$,3031,2,4.5,2024,44,44,7,44
8,8,1596877,49.30117,-123.15727,11,$$ - $$$,3031,8,4.5,1679,1,1,3,1
9,9,710048,49.272198,-123.133965,9,$$ - $$$,3031,5,4.5,2267,10,10,5,10
10,10,10224421,49.280396,-123.109825,3,$$ - $$$,3031,16,4.5,735,29,29,7,29
11,11,8855001,49.287395,-123.12903,4,$,3031,18,4.5,387,40,40,8,40
12,12,682960,49.275787,-123.1222,10,$$$$,3031,20,4.5,491,66,66,7,66
13,13,799375,49.28262,-123.12356,10,$$ - $$$,3031,11,4.5,2551,49,49,8,49
14,14,3182463,49.290573,-123.13403,7,$,3031,17,4.5,358,38,38,9,38
15,15,702167,49.276203,-123.1211,11,$$$$,3031,13,4.5,3078,70,70,7,70
16,16,787450,49.290554,-123.13701,10,$$ - $$$,3031,15,4.5,616,46,46,7,46
17,17,7741695,49.27074,-123.146805,5,$$ - $$$,3031,12,4.5,618,17,17,3,17
18,18,3978379,49.247833,-123.100975,1,$$ - $$$,3031,14,4.5,213,29,29,1,29
19,19,3914014,49.272778,-123.13503,0,$,3031,1894,3.5,17,9,9,5,9
20,20,7911886,49.270187,-123.13384,0,$$ - $$$,3031,1897,4.0,11,8,8,5,8
21,21,9794338,49.28578,-123.112885,0,,3031,1891,4.5,3,29,29,7,29
22,22,3813399,49.280773,-123.11951,0,$,3031,1889,3.5,23,54,54,8,54
23,23,23735322,49.2808,-123.11672,0,,3031,1898,4.5,2,42,42,7,42
24,24,5313589,49.28971,-123.11607,0,$$ - $$$,3031,1896,4.0,7,13,13,7,13
25,25,17432673,49.28465,-123.11485,0,,3031,1892,4.0,5,33,33,7,33
26,26,16821555,49.28029,-123.10675,0,,3031,1895,4.5,3,35,35,6,35
27,27,973030,49.28106,-123.10814,0,,3031,1893,4.5,4,38,38,7,38
28,28,3470826,49.28308,-123.11251,0,,3031,1890,3.5,16,31,31,7,31
29,29,7389779,49.24509,-123.06569,0,$,3031,1899,3.5,11,13,13,0,13
30,30,23578899,49.28733,-123.11714,0,,3031,1903,4.5,2,28,28,9,28
31,31,5292469,49.23367,-123.03432,0,,3031,1904,4.5,4,24,24,0,24
32,32,10311532,49.232174,-123.0904,0,,3031,1906,4.5,3,6,6,1,6
33,33,2634788,49.28961,-123.12091,0,,3031,1900,4.5,5,20,20,8,20
34,34,4849889,49.26372,-123.12834,0,,3031,1908,5.0,4,12,12,1,12
35,35,17735292,49.26349,-123.13135,0,,3031,1901,5.0,2,12,12,1,12
36,36,8319621,49.28463,-123.11314,0,$$ - $$$,3031,1907,3.5,14,31,31,7,31
37,37,3645695,49.292477,-123.13411,0,$$ - $$$,3031,1902,3.0,226,33,33,7,33
38,38,8956470,49.283997,-123.11356,0,,3031,1905,4.5,4,32,32,7,32
39,39,12058113,49.26086,-123.11629,0,$,3031,1910,4.0,6,23,23,1,23
40,40,14868089,49.27572,-123.11506,0,,3031,1914,5.0,2,27,27,7,27
41,41,6882690,49.275154,-123.06938,0,,3031,1909,4.0,5,24,24,0,24
42,42,9981022,49.279945,-123.10617,0,$$ - $$$,3031,1915,3.5,9,36,36,6,36
43,43,10219519,49.283974,-123.12016,0,$$ - $$$,3031,1916,4.5,7,50,50,8,50
44,44,967684,49.27218,-123.13521,6,$,3031,19,4.5,282,9,9,5,9
45,45,5313230,49.24769,-123.10104,0,,3031,1912,4.0,8,28,28,1,28
46,46,12982957,49.21335,-123.13996,0,,3031,1918,3.5,6,14,14,0,14
47,47,15322225,49.2663,-123.10471,0,$$ - $$$,3031,1917,3.5,29,17,17,2,17
48,48,23705066,49.2808,-123.11672,0,,3031,1913,4.5,2,42,42,7,42
