,id,name,latitude,longitude,rankingDenominator,rankingPosition,rating,numberofReviews
0,1719718,Salmon n' Bannock Bistro,49.263462,-123.129814,3031,4,4.5,794
1,6739624,Rain Or Shine,49.26805,-123.148674,3031,7,4.5,207
2,2399483,Black + Blue,49.284725,-123.1225,3031,1,4.5,2962
3,701775,Bacchus Restaurant & Lounge,49.28225,-123.12248,3031,9,4.5,1203
4,3476538,Absinthe Bistro,49.2759,-123.069496,3031,6,4.5,437
5,7273795,Purebread,49.28241,-123.1092,3031,10,4.5,437
6,690182,Five Sails Restaurant,49.288414,-123.11281,3031,3,4.5,1015
7,8653602,Glowbal,49.28161,-123.11704,3031,2,4.5,2024
8,1596877,Teahouse in Stanley Park,49.30117,-123.15727,3031,8,4.5,1679
9,710048,The Sandbar Seafood Restaurant,49.272198,-123.133965,3031,5,4.5,2267
10,10224421,Jam Cafe YVR,49.280396,-123.109825,3031,16,4.5,735
11,8855001,Ramen Danbo - Robson,49.287395,-123.12903,3031,18,4.5,387
12,682960,Brix & Mortar Restaurant,49.275787,-123.1222,3031,20,4.5,491
13,799375,Italian Kitchen,49.28262,-123.12356,3031,11,4.5,2551
14,3182463,Nero waffles,49.290573,-123.13403,3031,17,4.5,358
15,702167,Blue Water Cafe,49.276203,-123.1211,3031,13,4.5,3078
16,787450,Kingyo,49.290554,-123.13701,3031,15,4.5,616
17,7741695,AnnaLena,49.27074,-123.146805,3031,12,4.5,618
18,3978379,Rocky Mountain Flatbread Main Street,49.247833,-123.100975,3031,14,4.5,213
19,3914014,Omi Japan,49.272778,-123.13503,3031,1894,3.5,17
20,7911886,Artisan Sake Maker,49.270187,-123.13384,3031,1897,4.0,11
21,9794338,Creme De La Crumb Bakeshop,49.28578,-123.112885,3031,1891,4.5,3
22,3813399,Aladdin Cafe,49.280773,-123.11951,3031,1889,3.5,23
23,23735322,Blaze Gourmet Burgers,49.2808,-123.11672,3031,1898,4.5,2
24,5313589,Bellaggio Convention Late Night Music,49.28971,-123.11607,3031,1896,4.0,7
25,17432673,The Magnet,49.28465,-123.11485,3031,1892,4.0,5
26,16821555,Blazing Sushi,49.28029,-123.10675,3031,1895,4.5,3
27,973030,Symphonie Restaurant,49.28106,-123.10814,3031,1893,4.5,4
28,3470826,The Ascot,49.28308,-123.11251,3031,1890,3.5,16
29,7389779,Pho Thai Hang 2 Restaurant,49.24509,-123.06569,3031,1899,3.5,11
30,23578899,Brassfish Tavern,49.28733,-123.11714,3031,1903,4.5,2
