,name,followers
0,Domino's Pizza,330000
1,Domino's Pizza,330000
2,Wasabi,4800
3,Eat'n Park,6700
4,MOS Burger,10500
5,Burger King,109000
6,Taco Mayo,1250
7,La Tasca,13400
8,Highlands Coffee,13600
9,Which Wich?,20100
10,The West Cornwall Pasty Company,2710
11,Nando's,27400
12,Dodo Pizza,31500
13,Maggiano's Little Italy,34800
14,Herfy,37700
15,Norms Restaurants,4170
16,Za Za Bazaar,4250
17,Wetzel's Pretzels,4710
18,Huddle House,4710
19,Hero Certified Burgers,4730
20,The Varsity,5520
21,McDonald’s,631000
22,Fogo de Chão,6460
23,Smokey Bones,6890
24,Jollibee,732000
25,4 Rivers Smokehouse,7740
26,Upper Crust,1005
27,Texas de Brazil,10080
28,Blimpie,10260
29,Lobster Me,1047
30,Go Go Curry,10960
31,Teremok,1136
32,Roscoe's House of Chicken and Waffles,1209
33,Kahve Dünyası,12460
34,Hungry Jack's,12820
35,Mr. Sub,1297
36,Tenkaippin,12980
37,Hungry bunny,1306
38,Max & Erma's,1322
39,Thaï Express,1353
40,BurgerFi,13640
41,Orange Leaf Frozen Yogurt,14090
42,Romano's Macaroni Grill,14330
43,Rusty Taco,1482
44,Léon de Bruxelles,1497
45,Wrapchic,1519
46,Wrapchic,1519
47,Paris Baguette,1522
48,Morley's,1538
49,Southern Fried Chicken,1538
50,Golden Chick,1545
51,Smullers,1545
52,Swensen's,1573
53,Jason's Deli,15870
54,Lawry's,1593
55,Señor Frog's,1612
56,Dohtonbori,1621
57,Ippudo,1668
58,The Simple Greek,1671
59,Aladdin's Eatery,1685
60,Huey Magoo’s,1707
61,Kofe Khauz,17110
62,DiBella's,1744
63,Jinya Ramen Bar,1807
64,Elephant Bar,1818
65,Sakae Sushi,1836
66,Milio's Sandwiches,1843
67,Cheba Hut,1864
68,Chicken Express,1866
69,Cactus Club Cafe,18850
70,O'Briens Irish Sandwich Bars,1907
71,Taco del Mar,1985
72,Teriyaki Experience,2005
73,Big Smoke Burger,2015
74,Back Yard Burgers,2032
75,The Breakfast Club,20720
76,Shari's Restaurants,2155
77,Beef O'Brady's,2174
78,Buffalo Grill,2187
79,Pure,2275
80,Orange Julius,2285
81,Bennigan's,2292
82,OK Diner,2301
83,Carino's Italian,2317
84,Hodad's,2327
85,Arooga's Grille House & Sports Bar,2328
86,Yogurt Mountain,2388
87,Everytable,2406
88,El Fenix,2448
89,Kotipizza,2479
90,Buffalo Wings & Rings,2661
91,Medieval Times,26670
92,Belushi's,2705
93,Godfather's Pizza,2715
94,George Webb Restaurants,2745
95,bd's Mongolian Grill,2754
96,Tim Hortons,28040
97,Abokado,2923
98,Ono Hawaiian BBQ,2982
99,California Fish Grill,3161
100,Nestlé Toll House Café,3161
101,Chef & Brewer,3216
102,Mandarin Restaurant,3231
103,MK Restaurants,3292
104,Wetherby Whaler,3308
105,Wildwood,3322
106,Planet Smoothie,3332
107,Hubbox,3378
108,The Old Spaghetti Factory,3411
109,Patara Restaurants,3533
110,Browns Restaurants,3552
111,Saltgrass Steak House,3592
112,Wild Wing Restaurants,3596
113,Gyu-Kaku,3752
114,Jimmy's Restaurants,3909
115,Ted's Montana Grill,3982
116,Pizza Inn,4018
117,Dick's Last Resort,4021
118,La Pataterie,4028
119,Juice It Up!,4056
120,Ruby's Diner,4277
121,Main Event Entertainment,4302
122,Claim Jumper,4404
123,Fleming's Prime Steakhouse & Wine Bar,4464
124,Marie Callender's,4467
125,Pitcher & Piano,4479
126,New York Fries,4489
127,Prezzo,44990
128,Mucho Burrito,4581
129,Hesburger,4589
130,Milestones Grill and Bar,4619
131,Gusto,4645
132,Angus Steakhouse,4822
133,Tony Roma's,4854
134,Così,4921
135,Wayback Burgers,5012
136,Harry Ramsden's,5014
137,Ivar's,5093
138,Black Bear Diner,5132
139,Skyline Chili,51510
140,Golden Krust Caribbean Bakery & Grill,5304
141,Wimpy,5339
142,Wahoo's Fish Taco,5402
143,East Side Mario's,5417
144,Sizzler,5446
145,White Spot,5474
146,Jack's,5476
147,Table Table,5483
148,Zankou Chicken,5524
149,Shakey's Pizza,5525
150,Togo's,5693
151,Hawksmoor,58220
152,Hot Dog on a Stick,5837
153,Mang Inasal,6095
154,Sbarro,6173
155,Robeks,6173
156,California Tortilla,6196
157,Philly Pretzel Factory,6254
158,Panda Express,62670
159,Panda Express,62670
160,Xi'an Famous Foods,6291
161,Phil's BBQ,6309
162,La Cage,6317
163,HuHot Mongolian Grill,6471
164,La Madeleine,6616
165,Bravo Cucina Italiana,6734
166,Frisch's,6764
167,Elevation Burger,6868
168,Penn Station,7016
169,Tasti D-Lite,7118
170,Pollo Tropical,7165
171,Ruth's Chris Steak House,7165
172,Quaker Steak & Lube,7257
173,Chicken Salad Chick,7267
174,Just Salad,7293
175,Legal Sea Foods,7351
176,Amici's East Coast Pizzeria,7415
177,Roy Rogers Restaurants,7508
178,O'Charley's,7595
179,Dinosaur Bar-B-Que,7668
180,Biscuitville,7672
181,Braum's,7717
182,The Honey Baked Ham Company,7848
183,Captain D's,7881
184,Jet's Pizza,8129
185,Kona Grill,8165
186,Pretzelmaker,8198
187,Thai Square,8316
188,Little Chef,8424
189,Strada,8563
190,Pardos Chicken,8693
191,VBites,8834
192,P. F. Chang's China Bistro,88430
193,The Good Burger,8863
194,Cicis,8902
195,Cicis,8902
196,Loch Fyne Restaurants,9031
197,Mary Brown's,9044
198,Dickey's Barbecue Pit,9151
199,JOEY,9158
200,Rubio's Coastal Grill,9449
201,Fuzzy's Taco Shop,9456
202,Eggslut,9501
203,Planet Hollywood,9507
204,Planet Hollywood,9507
205,In-N-Out Burger,9574
206,Chopt,9684
207,Kaspa's,9729
208,Founding Famers,9793
209,Brio Tuscan Grille,9911
210,The Halal Guys,10255
211,The Good Life Eatery,10354
212,Hakata Fūryū,10443
213,Taco Cabana,10589
214,People Dedicated to Quality,10676
215,Chicken Republic,10843
216,Montgomery Inn,10895
217,Eddie V's,10924
218,Perkins Restaurant & Bakery,11283
219,Milo's Hamburgers,11431
220,Milo's Hamburgers,11431
221,Mission BBQ,11436
222,Buona,11493
223,On the Border Mexican Grill & Cantina,11539
224,Chuy's,11694
225,Chi'Lantro BBQ,11958
226,Papa Murphy's,12113
227,itsu,12317
228,Rainforest Cafe,12317
229,Miller's Ale House,12375
230,Freddy's Frozen Custard & Steakburgers,12445
231,Uno Chicago Grill,12447
232,Joe's Crab Shack,12478
233,Nathan's Famous,12935
234,Tortilla,12941
235,Pepper Lunch,13046
236,Franco Manca,13069
237,Fatburger,13092
238,Nadai Fuji Soba,13115
239,Benihana,13166
240,Panchero's Mexican Grill,13189
241,Slapfish,13201
242,ASK,13632
243,Beefeater,13683
244,Fuddruckers,13835
245,Warunk Upnormal,14187
246,40/40 Club,14236
247,Millie's Cookies,14367
248,Krystal,14618
249,BurgerFuel,14778
250,Taco Bueno,15173
251,Freshii,15483
252,Bar Louie Restaurants,15682
253,Bob Evans Restaurants,15719
254,Moxie's Grill & Bar,15849
255,Cinnabon,166170
256,The Melting Pot,16795
257,Café Rouge,16808
258,Luke's Lobster,17308
259,Mooyah,17392
260,Mugg & Bean,17397
261,Dolly Parton's Dixie Stampede,17544
262,Coast to Coast,17802
263,Taco John's,17894
264,Tropical Smoothie Cafe,18404
265,Capriotti's,18518
266,Earls,18627
267,Buca di Beppo,18661
268,Morton's The Steakhouse,18693
269,Wienerschnitzel,18708
270,Ichiran,19149
271,Schlotzsky's,19642
272,Tijuana Flats,20725
273,Johnny Rockets,21486
274,Johnny Rockets,21486
275,Pizza Port,21518
276,Zoës Kitchen,21673
277,Ed's Easy Diner,21943
278,Menchie's Frozen Yogurt,22075
279,Ocean Basket,22367
280,Miller & Carter,22486
281,Bella Italia,22622
282,Ruby Tuesday,22653
283,Twin Peaks,22663
284,Seasons 52,22925
285,Carrabba's Italian Grill,23012
286,Bill's,23013
287,El Pollo Loco,23467
288,Swiss Chalet,23834
289,Mowgli Street Food,24068
290,Lucky Pierrot,24809
291,Pho,24822
292,Harvey's,24825
293,Harvey's,24825
294,Jack Astor's Bar & Grill,24909
295,Pizza Pilgrims,25096
296,Choushimaru,25218
297,Crumbl Cookies,255260
298,Logan's Roadhouse,25971
299,Portillo's Restaurants,26111
300,The Cheesecake Factory,355396
301,Little Caesars,357802
302,Little Caesars,357802
303,Bamiyan,369968
304,Sonic Drive-In,387265
305,Steak 'n Shake,406284
306,Chili's,407105
307,Olive Garden,415214
308,Sukiya,431634
309,Sukiya,431634
310,Yayoiken,432099
311,Panera Bread,445747
312,Jimmy John's,446571
313,Denny's,452365
314,Dairy Queen,530001
315,Dairy Queen,530001
316,Jollibee,580781
317,Applebee's,599942
318,Papa Johns,646039
319,Buffalo Wild Wings,647758
320,Buffalo Wild Wings,647758
321,Yoshinoya,692018
322,Hotto Motto,762885
323,Arby's,845106
324,Kura Sushi,921321
325,Marugame Seimen,964388
326,MOS Burger,1141588
327,Mister Donut,1187254
328,Dunkin',1258427
329,Whataburger,1261794
330,Akindo Sushiro,1307416
331,KFC,1585575
332,Pizza Hut,1655184
333,Pizza Hut,1655184
334,Wendy's,3881883
335,McDonald’s,4495475
336,Bonefish Grill,26972
337,Gourmet Burger Kitchen,27435
338,Corner Bakery Cafe,27587
339,Checkers,27836
340,Rally's,27837
341,Potbelly Sandwich Shop,27963
342,La Salsa,28132
343,Famous Dave's,28888
344,The Capital Grille,28932
345,Byron Hamburgers,29847
346,Leon Restaurants,30467
347,Foster's Hollywood,31149
348,The Keg,31798
349,Chooks-to-Go,32516
350,Booster Juice,32652
351,Chiquito,32856
352,Long John Silver's,33446
353,Toby Carvery,33537
354,Harvester Restaurants,33567
355,House of Blues,33821
356,California Pizza Kitchen,33908
357,Del Taco,34618
358,IHOP,350320
359,Wahaca,35483
360,Pizza Hut Delivery,35705
361,Vips,36029
362,Sweetgreen,36891
363,Dave & Buster's,38073
364,Dishoom,39036
365,Giraffe Restaurants,39221
366,Bahama Breeze,39582
367,Pinkberry,40745
368,Yard House,41436
369,Katsuya,41733
370,McAlister's Deli,43264
371,Chuck E. Cheese,43608
372,Primanti Brothers,44443
373,Carluccio's,45482
374,Chowking,47755
375,O'Tacos,47823
376,Baja Fresh,48945
377,Qdoba Mexican Eats,49439
378,Ginos,50829
379,Culver's,52684
380,YO! Sushi,53117
381,Zizzi,53789
382,Noodles & Company,53915
383,A&W Restaurants,57492
384,A&W Restaurants,57492
385,Freshness Burger,58966
386,Wagamama,59923
387,Gindaco,61179
388,Torchy’s Tacos,61431
389,Frankie and Benny's,61787
390,Auntie Anne's,65381
391,Cook Out,71724
392,Vips,76287
393,BJ's Restaurant & Brewery,76762
394,Habib's,78592
395,Al Tazaj,78688
396,Raising Cane's Chicken Fingers,82371
397,Raising Cane's Chicken Fingers,82371
398,Bojangles' Famous Chicken 'n Biscuits,83921
399,Ikinari Steak,84694
400,Genki Sushi,85843
401,Hamburguesas El Corral,87607
402,Moe's Southwest Grill,88762
403,LongHorn Steakhouse,89337
404,Church's Chicken,93131
405,Church's Chicken,93131
406,White Castle,95981
407,Zaxby's,101838
408,Texas Roadhouse,105617
409,Carl's Jr.,107737
410,Kamakura Pasta,113678
411,Chick-fil-A,1144170
412,Waffle House,116835
413,Cracker Barrel,117015
414,First Kitchen,118224
415,Jack in the Box,122459
416,Greenwich Pizza,125536
417,Ringer Hut,133025
418,Hanamarūdon,140191
419,MrBeast Burger,142479
420,Hooters,143154
421,Nakau,144621
422,Wahlburgers,146369
423,KOURAKUEN,171564
424,Kappa Sushi,179941
425,Red Robin,184416
426,Herfy,186298
427,Taco Bell,1976290
428,TGI Fridays,209859
429,Lotteria,239518
430,Popeyes,255224
431,Wingstop,266654
432,Hard Rock Cafe,294976
433,Outback Steakhouse,318974
434,Matsuya Foods,321491
435,Red Lobster,337366
